Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Magnetic susceptibility (SI x 10^-5),Configuration filename,Timestamp (UTC),Instrument,Instrument group,Text ID,Comments
374,U1523,B,3,F,1,A,2.5,46.725,46.725,12.00,374-MSPOINT-45192531-i_pi_ms.ini,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,5.0,46.75,46.750,37.67,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,7.5,46.775,46.775,240.67,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,10.0,46.8,46.800,22.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,12.5,46.825,46.825,8.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,15.0,46.85,46.850,14.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,17.5,46.875,46.875,1978.67,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,20.0,46.9,46.900,95.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,22.5,46.925,46.925,10.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,25.0,46.95,46.950,42.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,27.5,46.975,46.975,41.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,30.0,47,47.000,17.33,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,32.5,47.025,47.025,21.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,35.0,47.05,47.050,100.67,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,37.5,47.075,47.075,39.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,40.0,47.1,47.100,30.67,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,42.5,47.125,47.125,28.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,45.0,47.15,47.150,31.67,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,47.5,47.175,47.175,33.67,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,50.0,47.2,47.200,33.33,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,52.5,47.225,47.225,19.67,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,55.0,47.25,47.250,26.67,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,57.5,47.275,47.275,23.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,60.0,47.3,47.300,21.33,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,62.5,47.325,47.325,19.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,65.0,47.35,47.350,26.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,67.5,47.375,47.375,23.33,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,70.0,47.4,47.400,26.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,72.5,47.425,47.425,25.33,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,75.0,47.45,47.450,31.33,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,77.5,47.475,47.475,74.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,80.0,47.5,47.500,27.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,82.5,47.525,47.525,25.33,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,85.0,47.55,47.550,36.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,87.5,47.575,47.575,50.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,90.0,47.6,47.600,36.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,92.5,47.625,47.625,265.67,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,95.0,47.65,47.650,31.33,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,97.5,47.675,47.675,18.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,100.0,47.7,47.700,19.67,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,102.5,47.725,47.725,10.33,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,105.0,47.75,47.750,14.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,107.5,47.775,47.775,13.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,110.0,47.8,47.800,10.67,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,112.5,47.825,47.825,3.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,115.0,47.85,47.850,6.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,117.5,47.875,47.875,3.33,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,120.0,47.9,47.900,5.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,122.5,47.925,47.925,8.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,125.0,47.95,47.950,11.67,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,127.5,47.975,47.975,15.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,130.0,48,48.000,13.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,132.5,48.025,48.025,14.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,135.0,48.05,48.050,15.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,137.5,48.075,48.075,11.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,1,A,140.0,48.1,48.100,13.00,,2018-01-30 15:33:24,MS2K-695,SHMSL,SHLF9340431,
374,U1523,B,3,F,2,A,2.5,48.145,48.145,13.00,374-MSPOINT-45192531-i_pi_ms.ini,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,5.0,48.17,48.170,56.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,7.5,48.195,48.195,36.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,10.0,48.22,48.220,37.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,12.5,48.245,48.245,29.33,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,15.0,48.27,48.270,26.33,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,17.5,48.295,48.295,18.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,20.0,48.32,48.320,23.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,22.5,48.345,48.345,31.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,25.0,48.37,48.370,33.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,27.5,48.395,48.395,54.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,30.0,48.42,48.420,71.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,32.5,48.445,48.445,118.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,35.0,48.47,48.470,88.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,37.5,48.495,48.495,74.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,40.0,48.52,48.520,73.33,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,42.5,48.545,48.545,131.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,45.0,48.57,48.570,126.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,47.5,48.595,48.595,114.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,50.0,48.62,48.620,145.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,52.5,48.645,48.645,67.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,55.0,48.67,48.670,42.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,57.5,48.695,48.695,59.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,60.0,48.72,48.720,66.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,62.5,48.745,48.745,97.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,65.0,48.77,48.770,75.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,67.5,48.795,48.795,117.33,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,70.0,48.82,48.820,84.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,72.5,48.845,48.845,86.33,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,75.0,48.87,48.870,94.33,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,77.5,48.895,48.895,87.33,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,80.0,48.92,48.920,92.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,82.5,48.945,48.945,115.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,85.0,48.97,48.970,95.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,87.5,48.995,48.995,80.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,90.0,49.02,49.020,71.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,92.5,49.045,49.045,107.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,95.0,49.07,49.070,75.33,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,97.5,49.095,49.095,87.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,100.0,49.12,49.120,75.33,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,102.5,49.145,49.145,77.33,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,105.0,49.17,49.170,80.33,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,107.5,49.195,49.195,72.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,110.0,49.22,49.220,72.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,112.5,49.245,49.245,94.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,115.0,49.27,49.270,75.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,117.5,49.295,49.295,70.33,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,120.0,49.32,49.320,71.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,122.5,49.345,49.345,69.67,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,125.0,49.37,49.370,65.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,127.5,49.395,49.395,68.33,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,3,F,2,A,130.0,49.42,49.420,61.00,,2018-01-30 15:43:50,MS2K-695,SHMSL,SHLF9340461,
374,U1523,B,5,F,1,A,2.5,56.125,56.125,22.33,374-MSPOINT-45192531-i_pi_ms.ini,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,5.0,56.15,56.150,44.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,7.5,56.175,56.175,40.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,10.0,56.2,56.200,24.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,12.5,56.225,56.225,34.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,15.0,56.25,56.250,45.33,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,17.5,56.275,56.275,41.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,20.0,56.3,56.300,33.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,22.5,56.325,56.325,33.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,25.0,56.35,56.350,40.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,27.5,56.375,56.375,38.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,30.0,56.4,56.400,44.67,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,32.5,56.425,56.425,38.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,35.0,56.45,56.450,34.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,37.5,56.475,56.475,39.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,40.0,56.5,56.500,49.33,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,42.5,56.525,56.525,92.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,45.0,56.55,56.550,21.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,47.5,56.575,56.575,20.33,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,50.0,56.6,56.600,46.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,52.5,56.625,56.625,23.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,55.0,56.65,56.650,18.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,57.5,56.675,56.675,18.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,60.0,56.7,56.700,13.33,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,62.5,56.725,56.725,14.67,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,65.0,56.75,56.750,19.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,67.5,56.775,56.775,17.67,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,70.0,56.8,56.800,17.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,72.5,56.825,56.825,17.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,75.0,56.85,56.850,16.67,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,77.5,56.875,56.875,19.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,80.0,56.9,56.900,19.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,82.5,56.925,56.925,19.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,85.0,56.95,56.950,21.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,87.5,56.975,56.975,18.67,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,90.0,57,57.000,21.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,92.5,57.025,57.025,23.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,95.0,57.05,57.050,19.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,97.5,57.075,57.075,19.67,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,100.0,57.1,57.100,19.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,102.5,57.125,57.125,16.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,105.0,57.15,57.150,16.33,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,107.5,57.175,57.175,17.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,110.0,57.2,57.200,17.67,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,112.5,57.225,57.225,17.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,115.0,57.25,57.250,16.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,117.5,57.275,57.275,15.67,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,120.0,57.3,57.300,15.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,122.5,57.325,57.325,18.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,125.0,57.35,57.350,18.67,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,127.5,57.375,57.375,16.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,130.0,57.4,57.400,17.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,132.5,57.425,57.425,15.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,135.0,57.45,57.450,14.67,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,137.5,57.475,57.475,14.67,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,140.0,57.5,57.500,14.33,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,142.5,57.525,57.525,14.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,145.0,57.55,57.550,15.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,1,A,147.5,57.575,57.575,14.00,,2018-01-30 19:26:21,MS2K-695,SHMSL,SHLF9340971,
374,U1523,B,5,F,2,A,2.5,57.635,57.635,2.00,374-MSPOINT-45192531-i_pi_ms.ini,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,5.0,57.66,57.660,9.00,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,7.5,57.685,57.685,11.33,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,10.0,57.71,57.710,11.33,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,12.5,57.735,57.735,12.33,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,15.0,57.76,57.760,13.00,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,17.5,57.785,57.785,12.67,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,20.0,57.81,57.810,11.33,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,22.5,57.835,57.835,11.00,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,25.0,57.86,57.860,12.33,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,27.5,57.885,57.885,11.33,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,30.0,57.91,57.910,10.67,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,32.5,57.935,57.935,10.33,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,35.0,57.96,57.960,10.00,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,37.5,57.985,57.985,10.00,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,40.0,58.01,58.010,9.67,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,42.5,58.035,58.035,9.33,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,45.0,58.06,58.060,9.00,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,47.5,58.085,58.085,9.00,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,50.0,58.11,58.110,8.67,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,52.5,58.135,58.135,9.33,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,55.0,58.16,58.160,9.33,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,57.5,58.185,58.185,9.00,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,60.0,58.21,58.210,9.00,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,62.5,58.235,58.235,9.33,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,65.0,58.26,58.260,9.33,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,67.5,58.285,58.285,9.00,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,70.0,58.31,58.310,10.00,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,72.5,58.335,58.335,10.67,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,75.0,58.36,58.360,11.00,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,77.5,58.385,58.385,11.00,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,80.0,58.41,58.410,11.33,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,82.5,58.435,58.435,11.00,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,85.0,58.46,58.460,10.67,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
374,U1523,B,5,F,2,A,87.5,58.485,58.485,11.00,,2018-01-30 19:04:43,MS2K-695,SHMSL,SHLF9341001,
