Exp,Site,Hole,Core,Type,Sect,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Depth CCSF-379-U1533-ABCD-20191030 (m),NGR total counts (cps),Absolute error (cps),NGR zip file,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,D,1,H,1,0.0,0,0.000,0.000,45.365,2.677,379-NGR-48405061-379-u1533d-1h-1_sect9778011_20190228155209.zip,2019-02-28 21:52:09,SECT9778011,113189471,,,
379,U1533,D,1,H,1,10.0,0.1,0.100,0.100,43.445,0.869,,2019-02-28 21:52:09,SECT9778011,113189471,,,
379,U1533,D,1,H,1,20.0,0.2,0.200,0.200,42.688,0.422,,2019-02-28 21:52:09,SECT9778011,113189471,,,
379,U1533,D,1,H,1,30.0,0.3,0.300,0.300,42.864,0.423,,2019-02-28 21:52:09,SECT9778011,113189471,,,
379,U1533,D,1,H,1,40.0,0.4,0.400,0.400,39.627,0.394,,2019-02-28 21:52:09,SECT9778011,113189471,,,
379,U1533,D,1,H,1,50.0,0.5,0.500,0.500,37.354,0.385,,2019-02-28 21:52:09,SECT9778011,113189471,,,
379,U1533,D,1,H,1,60.0,0.6,0.600,0.600,37.418,0.385,,2019-02-28 21:52:09,SECT9778011,113189471,,,
379,U1533,D,1,H,1,70.0,0.7,0.700,0.700,40.464,0.398,,2019-02-28 21:52:09,SECT9778011,113189471,,,
379,U1533,D,1,H,1,80.0,0.8,0.800,0.800,42.645,0.408,,2019-02-28 21:52:09,SECT9778011,113189471,,,
379,U1533,D,1,H,1,90.0,0.9,0.900,0.900,45.439,0.419,,2019-02-28 21:52:09,SECT9778011,113189471,,,
379,U1533,D,1,H,1,100.0,1,1.000,1.000,48.936,0.432,,2019-02-28 21:52:09,SECT9778011,113189471,,,
379,U1533,D,1,H,1,110.0,1.1,1.100,1.100,49.096,0.433,,2019-02-28 21:52:09,SECT9778011,113189471,,,
379,U1533,D,1,H,1,120.0,1.2,1.200,1.200,47.048,0.418,,2019-02-28 21:52:09,SECT9778011,113189471,,,
379,U1533,D,1,H,1,130.0,1.3,1.300,1.300,45.785,0.413,,2019-02-28 21:52:09,SECT9778011,113189471,,,
379,U1533,D,1,H,1,140.0,1.4,1.400,1.400,44.864,0.893,,2019-02-28 21:52:09,SECT9778011,113189471,,,
379,U1533,D,1,H,1,150.0,1.5,1.500,1.500,37.716,2.244,,2019-02-28 21:52:09,SECT9778011,113189471,,,
379,U1533,D,1,H,2,0.0,1.5,0.750,1.500,59.717,3.493,379-NGR-48405291-379-u1533d-1h-2_sect9778041_20190228160343.zip,2019-02-28 22:03:43,SECT9778041,113189561,,,
379,U1533,D,1,H,2,10.0,1.6,0.800,1.600,55.875,1.081,,2019-02-28 22:03:43,SECT9778041,113189561,,,
379,U1533,D,1,H,2,20.0,1.7,0.850,1.700,57.954,0.478,,2019-02-28 22:03:43,SECT9778041,113189561,,,
379,U1533,D,1,H,2,30.0,1.8,0.900,1.800,60.304,0.487,,2019-02-28 22:03:43,SECT9778041,113189561,,,
379,U1533,D,1,H,2,40.0,1.9,0.950,1.900,60.217,0.474,,2019-02-28 22:03:43,SECT9778041,113189561,,,
379,U1533,D,1,H,2,50.0,2,1.000,2.000,59.561,0.471,,2019-02-28 22:03:43,SECT9778041,113189561,,,
379,U1533,D,1,H,2,60.0,2.1,1.050,2.100,59.801,0.472,,2019-02-28 22:03:43,SECT9778041,113189561,,,
379,U1533,D,1,H,2,70.0,2.2,1.100,2.200,57.681,0.465,,2019-02-28 22:03:43,SECT9778041,113189561,,,
379,U1533,D,1,H,2,80.0,2.3,1.150,2.300,57.039,0.463,,2019-02-28 22:03:43,SECT9778041,113189561,,,
379,U1533,D,1,H,2,90.0,2.4,1.200,2.400,55.542,0.457,,2019-02-28 22:03:43,SECT9778041,113189561,,,
379,U1533,D,1,H,2,100.0,2.5,1.250,2.500,57.586,0.464,,2019-02-28 22:03:43,SECT9778041,113189561,,,
379,U1533,D,1,H,2,110.0,2.6,1.300,2.600,59.609,0.472,,2019-02-28 22:03:43,SECT9778041,113189561,,,
379,U1533,D,1,H,2,120.0,2.7,1.350,2.700,60.335,0.468,,2019-02-28 22:03:43,SECT9778041,113189561,,,
379,U1533,D,1,H,2,130.0,2.8,1.400,2.800,57.731,0.459,,2019-02-28 22:03:43,SECT9778041,113189561,,,
379,U1533,D,1,H,2,140.0,2.9,1.450,2.900,54.242,1.053,,2019-02-28 22:03:43,SECT9778041,113189561,,,
379,U1533,D,1,H,2,150.0,3,1.500,3.000,45.186,2.667,,2019-02-28 22:03:43,SECT9778041,113189561,,,
379,U1533,D,1,H,3,0.0,3,2.206,3.000,47.654,2.807,379-NGR-48405331-379-u1533d-1h-3_sect9778071_20190228163524.zip,2019-02-28 22:35:24,SECT9778071,113189571,,,
379,U1533,D,1,H,3,10.0,3.1,2.280,3.100,52.303,1.020,,2019-02-28 22:35:24,SECT9778071,113189571,,,
379,U1533,D,1,H,3,20.0,3.2,2.353,3.200,51.361,0.455,,2019-02-28 22:35:24,SECT9778071,113189571,,,
379,U1533,D,1,H,3,30.0,3.3,2.427,3.300,50.524,0.452,,2019-02-28 22:35:24,SECT9778071,113189571,,,
379,U1533,D,1,H,3,40.0,3.4,2.500,3.400,46.427,0.422,,2019-02-28 22:35:24,SECT9778071,113189571,,,
379,U1533,D,1,H,3,50.0,3.5,2.574,3.500,44.117,0.413,,2019-02-28 22:35:24,SECT9778071,113189571,,,
379,U1533,D,1,H,3,60.0,3.6,2.647,3.600,44.704,0.415,,2019-02-28 22:35:24,SECT9778071,113189571,,,
379,U1533,D,1,H,3,70.0,3.7,2.721,3.700,44.108,0.413,,2019-02-28 22:35:24,SECT9778071,113189571,,,
379,U1533,D,1,H,3,80.0,3.8,2.794,3.800,43.959,0.413,,2019-02-28 22:35:24,SECT9778071,113189571,,,
379,U1533,D,1,H,3,90.0,3.9,2.868,3.900,45.782,0.591,,2019-02-28 22:35:24,SECT9778071,113189571,,,
379,U1533,D,1,H,3,100.0,4,2.941,4.000,48.000,0.684,,2019-02-28 22:35:24,SECT9778071,113189571,,,
379,U1533,D,1,H,4,0.0,4.08,3.565,4.080,43.083,2.548,379-NGR-48405371-379-u1533d-1h-4_sect9778101_20190228164652.zip,2019-02-28 22:46:52,SECT9778101,113189581,,,
379,U1533,D,1,H,4,10.0,4.18,3.652,4.180,35.009,0.725,,2019-02-28 22:46:52,SECT9778101,113189581,,,
379,U1533,D,1,H,4,20.0,4.28,3.740,4.280,33.158,0.382,,2019-02-28 22:46:52,SECT9778101,113189581,,,
379,U1533,D,1,H,4,30.0,4.38,3.827,4.380,35.341,0.392,,2019-02-28 22:46:52,SECT9778101,113189581,,,
379,U1533,D,1,H,4,40.0,4.48,3.914,4.480,34.910,0.504,,2019-02-28 22:46:52,SECT9778101,113189581,,,
379,U1533,D,1,H,4,50.0,4.58,4.001,4.580,35.619,0.623,,2019-02-28 22:46:52,SECT9778101,113189581,,,
379,U1533,D,2,H,1,0.0,4.8,4.800,7.980,27.416,1.663,379-NGR-48405651-379-u1533d-2h-1_sect9778471_20190228173612.zip,2019-02-28 23:36:12,SECT9778471,113189761,,,
379,U1533,D,2,H,1,10.0,4.9,4.900,8.080,27.603,0.600,,2019-02-28 23:36:12,SECT9778471,113189761,,,
379,U1533,D,2,H,1,20.0,5,5.000,8.180,32.011,0.377,,2019-02-28 23:36:12,SECT9778471,113189761,,,
379,U1533,D,2,H,1,30.0,5.1,5.100,8.280,33.678,0.385,,2019-02-28 23:36:12,SECT9778471,113189761,,,
379,U1533,D,2,H,1,40.0,5.2,5.200,8.380,28.777,0.346,,2019-02-28 23:36:12,SECT9778471,113189761,,,
379,U1533,D,2,H,1,50.0,5.3,5.300,8.480,26.421,0.334,,2019-02-28 23:36:12,SECT9778471,113189761,,,
379,U1533,D,2,H,1,60.0,5.4,5.400,8.580,23.544,0.319,,2019-02-28 23:36:12,SECT9778471,113189761,,,
379,U1533,D,2,H,1,70.0,5.5,5.500,8.680,25.438,0.329,,2019-02-28 23:36:12,SECT9778471,113189761,,,
379,U1533,D,2,H,1,80.0,5.6,5.600,8.780,24.769,0.326,,2019-02-28 23:36:12,SECT9778471,113189761,,,
379,U1533,D,2,H,1,90.0,5.7,5.700,8.880,26.479,0.335,,2019-02-28 23:36:12,SECT9778471,113189761,,,
379,U1533,D,2,H,1,100.0,5.8,5.800,8.980,29.252,0.348,,2019-02-28 23:36:12,SECT9778471,113189761,,,
379,U1533,D,2,H,1,110.0,5.9,5.900,9.080,29.066,0.347,,2019-02-28 23:36:12,SECT9778471,113189761,,,
379,U1533,D,2,H,1,120.0,6,6.000,9.180,29.911,0.343,,2019-02-28 23:36:12,SECT9778471,113189761,,,
379,U1533,D,2,H,1,130.0,6.1,6.100,9.280,28.778,0.337,,2019-02-28 23:36:12,SECT9778471,113189761,,,
379,U1533,D,2,H,1,140.0,6.2,6.200,9.380,29.432,0.631,,2019-02-28 23:36:12,SECT9778471,113189761,,,
379,U1533,D,2,H,1,150.0,6.3,6.300,9.480,24.796,1.517,,2019-02-28 23:36:12,SECT9778471,113189761,,,
379,U1533,D,2,H,2,0.0,6.3,5.547,9.480,23.875,1.465,379-NGR-48405851-379-u1533d-2h-2_sect9778501_20190228174803.zip,2019-02-28 23:48:03,SECT9778501,113189841,,,
379,U1533,D,2,H,2,10.0,6.4,5.597,9.580,18.411,0.448,,2019-02-28 23:48:03,SECT9778501,113189841,,,
379,U1533,D,2,H,2,20.0,6.5,5.647,9.680,14.531,0.290,,2019-02-28 23:48:03,SECT9778501,113189841,,,
379,U1533,D,2,H,2,30.0,6.6,5.697,9.780,13.994,0.287,,2019-02-28 23:48:03,SECT9778501,113189841,,,
379,U1533,D,2,H,2,40.0,6.7,5.746,9.880,14.934,0.271,,2019-02-28 23:48:03,SECT9778501,113189841,,,
379,U1533,D,2,H,2,50.0,6.8,5.796,9.980,15.504,0.274,,2019-02-28 23:48:03,SECT9778501,113189841,,,
379,U1533,D,2,H,2,60.0,6.9,5.846,10.080,16.394,0.280,,2019-02-28 23:48:03,SECT9778501,113189841,,,
379,U1533,D,2,H,2,70.0,7,5.896,10.180,17.338,0.285,,2019-02-28 23:48:03,SECT9778501,113189841,,,
379,U1533,D,2,H,2,80.0,7.1,5.946,10.280,19.565,0.299,,2019-02-28 23:48:03,SECT9778501,113189841,,,
379,U1533,D,2,H,2,90.0,7.2,5.996,10.380,21.559,0.310,,2019-02-28 23:48:03,SECT9778501,113189841,,,
379,U1533,D,2,H,2,100.0,7.3,6.046,10.480,26.936,0.337,,2019-02-28 23:48:03,SECT9778501,113189841,,,
379,U1533,D,2,H,2,110.0,7.4,6.096,10.580,34.146,0.371,,2019-02-28 23:48:03,SECT9778501,113189841,,,
379,U1533,D,2,H,2,120.0,7.5,6.145,10.680,37.211,0.377,,2019-02-28 23:48:03,SECT9778501,113189841,,,
379,U1533,D,2,H,2,130.0,7.6,6.195,10.780,32.525,0.355,,2019-02-28 23:48:03,SECT9778501,113189841,,,
379,U1533,D,2,H,2,140.0,7.7,6.245,10.880,31.124,0.706,,2019-02-28 23:48:03,SECT9778501,113189841,,,
379,U1533,D,2,H,2,150.0,7.8,6.295,10.980,29.282,1.675,,2019-02-28 23:48:03,SECT9778501,113189841,,,
379,U1533,D,2,H,3,0.0,7.81,6.809,10.990,38.156,2.269,379-NGR-48406141-379-u1533d-2h-3_sect9778531_20190228175942.zip,2019-02-28 23:59:42,SECT9778531,113189921,,,
379,U1533,D,2,H,3,10.0,7.91,6.876,11.090,32.767,0.687,,2019-02-28 23:59:42,SECT9778531,113189921,,,
